City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Faanui,PF,-16.4833,-151.75,82.11,75,0,12.62,light rain
335,Leh,IN,34.1667,77.5833,44.89,52,2,4.14,clear sky
336,Khuzhir,RU,53.1939,107.3397,31.41,68,100,13.78,overcast clouds
337,Hudson Bay,CA,52.85,-102.3842,58.73,44,100,9.24,overcast clouds
338,Klaksvik,FO,62.2266,-6.589,49.12,98,100,20.47,light rain
339,Sechura,PE,-5.5569,-80.8222,74.19,64,64,19.35,broken clouds
340,San Patricio,US,28.017,-97.5169,87.89,55,1,20.42,clear sky
341,Vao,NC,-22.6667,167.4833,73.44,69,97,11.92,overcast clouds
342,Adrar,MR,20.5022,-10.0711,89.26,12,38,5.82,scattered clouds
343,Sharan,RU,54.8167,54.0,47.28,52,100,3.36,overcast clouds
344,Kvareli,GE,41.9524,45.8151,48.97,81,99,3.71,overcast clouds
345,Zlotow,PL,53.3635,17.0408,42.85,71,6,8.79,clear sky
