City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Bucerias,MX,80.58,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
577,Boyolangu,ID,76.96,overcast clouds,-8.1181,111.8935,Yos ega cv
582,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
585,Hirara,JP,76.86,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
586,Kendari,ID,77.65,overcast clouds,-3.945,122.4989,Hotel Wixel
590,Callaway,US,80.96,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
592,Ahuimanu,US,83.91,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
594,Lazaro Cardenas,MX,82.53,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
596,Gat,IL,65.39,clear sky,31.61,34.7642,OlusHome
598,Manoel Urbano,BR,79.29,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
599,Yangjiang,CN,71.98,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
604,Tabuk,PH,77.88,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
605,Morant Bay,JM,83.82,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
610,Safaga,EG,80.06,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
611,Kananga,CD,71.69,overcast clouds,-5.8958,22.4178,Guest House Wood Land
612,Ilo,PE,65.34,few clouds,-17.6394,-71.3375,Torreblanca Hotel
614,Ilawe,NG,73.98,light rain,7.8667,4.4333,MR SALAM LODGE
615,Luang Prabang,LA,71.56,overcast clouds,19.8856,102.1347,The Apsara
616,Elmira,US,66.52,clear sky,42.0898,-76.8077,Mark Twain Motor Inn
617,Trairi,BR,76.62,overcast clouds,-3.2778,-39.2689,janelas do mar
619,Price,US,69.06,clear sky,39.5994,-110.8107,National 9 - Price River Inn
620,Enshi,CN,66.43,overcast clouds,30.3,109.4833,Moevenpick Enshi
623,Camocim,BR,78.24,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
624,Guymon,US,89.6,clear sky,36.6828,-101.4816,Simple Rewards
625,Vite,IN,80.28,overcast clouds,17.2833,74.55,Hotel Dreamland
626,Isangel,VU,78.1,scattered clouds,-19.55,169.2667,Tanna Lodge
628,Tiznit,MA,78.71,few clouds,29.5833,-9.5,
629,Guanare,VE,79.97,light rain,9.0418,-69.7421,Nuevo Hotel Coromoto
632,Manono,CD,71.47,broken clouds,-7.3,27.4167,Hotel hewa bora
634,Namatanai,PG,84.34,light rain,-3.6667,152.4333,Seagulls Inn Namatani
636,Khatima,IN,77.88,clear sky,28.9167,79.9667,Hotel Holiday
638,Woodland,US,67.93,broken clouds,38.6785,-121.7733,Hampton Inn & Suites Woodland-Sacramento Area
641,Atar,MR,92.37,overcast clouds,20.5169,-13.0499,Oumou Elghoura
644,Diamantino,BR,74.12,few clouds,-14.4086,-56.4461,Hotel Delta
645,Coolum Beach,AU,67.1,moderate rain,-26.5333,153.1,Coolum Beach Resort
647,Sabha,LY,70.57,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
648,Iacu,BR,72.05,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
649,Pennadam,IN,85.86,overcast clouds,11.4,79.2333,Muthu Home Lodge A/C
653,Pathein,MM,78.82,overcast clouds,16.7833,94.7333,Pathein Hotel
656,Bousse,BF,91.98,few clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
658,Cururupu,BR,74.14,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
660,Lagoa Santa,BR,72.57,clear sky,-19.6272,-43.8897,Hotel Lund
661,Sainte-Suzanne,RE,71.82,clear sky,-20.9061,55.6089,Gites Ango
663,Shingu,JP,67.17,broken clouds,33.7333,135.9833,Shingu UI Hotel
665,Labrea,BR,75.27,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
668,Tabou,CI,78.96,overcast clouds,4.423,-7.3528,hotêl doufoulougou
